household_key,age,gender,education,marital_status,household_size_f,employment_income,other_income,windfall_income,agri_income,non_agri_income,transfer_income,total_income,food_expenditure,nonfood_expenditure,total_expenditure,expense_to_income_ratio,financial_surplus,savings_ratio,per_capita_income,employment_capacity,debt_amount,debt_records,debt_sources,debt_to_income_ratio,credit_card_debt,has_credit_card_debt,has_creditmix_match,credit_score,credit_defaulted,credit_clv,credit_fraud_txn,cc_utilization_ratio,cc_late_payments,cc_credit_lines,cc_debt_to_income_ratio,cc_total_spend_last_year,cc_avg_txn_amount,cc_total_txns,cc_tenure_years,vehicle_ownership,instalment_goods_flag,instalment_amount,financial_health_score,financial_risk_level
111001_2_1,60.0,1.0,12.0,2,5,35000.0,38000.0,0.0,0.0,0.0,0.0,73000.0,11285,127180,138465,1.8967548389748086,-65465.0,-0.8967685374172957,14600.0,0.25,150028.0,1.0,12.0,0.17126464467506317,0.0,2.0,1,600.0,0.0,38528.0,0.0,0.17,0.0,3.0,0.99,8707.0,447.83,9.0,3.0,1,2.0,0.0,71.5,High Risk
111001_6_1,76.0,2.0,11.0,2,3,32000.0,0.0,0.0,0.0,0.0,0.0,32000.0,3168,20114,23282,0.727539764382363,8718.0,0.2724289865941689,10666.666666666666,1.0,20.0,1.0,10.0,5.2083197700005986e-05,0.0,2.0,0,653.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,91.2,Low Risk
111002_3_1,56.0,2.0,10.0,1,5,137600.0,0.0,1400000.0,0.0,0.0,0.0,1537600.0,5991,892634,898625,0.5844331526839538,638975.0,0.41556619695226527,307520.0,0.6,1391024.0,1.0,14.0,0.07538934728422285,30000.0,1.0,0,653.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,0.0,95.2,Low Risk
111002_9_1,72.0,1.0,7.0,1,4,64984.0,6360.0,18000.0,0.0,0.0,0.0,89344.0,4619,233765,238384,2.668129162236275,-149040.0,-1.6681403548044098,22336.0,0.3333333333333333,820023.0,1.0,14.0,0.7648547889293172,0.0,2.0,0,653.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.0,0.0,66.2,High Risk
111003_6_1,68.0,2.0,11.0,4,1,10000.0,0.0,0.0,0.0,0.0,0.0,10000.0,3256,16943,20199,2.0196980301969805,-10199.0,-1.0197980201979802,10000.0,0.0,20.0,1.0,10.0,0.00016666527778935175,0.0,2.0,0,653.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,64.8,High Risk
111004_3_1,49.0,1.0,13.0,1,6,21360.0,55000.0,4500000.0,0.0,0.0,0.0,4576360.0,7280,4293371,4300651,0.9397534416537506,275709.0,0.06024633983201937,762726.6666666666,0.3333333333333333,6150020.0,1.0,16.0,0.1119889294841874,0.0,2.0,1,658.0,0.0,12510.0,0.0,0.37,1.0,3.0,0.31,8394.0,545.5930434782608,23.0,15.0,3,2.0,0.0,85.6,Medium Risk
111004_7_1,54.0,2.0,11.0,1,4,55000.0,120000.0,0.0,0.0,0.0,0.0,175000.0,4995,56922,61917,0.3538094068033897,113083.0,0.6461848789435489,43750.0,0.5,200021.0,1.0,12.0,0.09524804988188101,0.0,2.0,1,675.0,0.0,66068.0,0.0,0.69,3.0,7.0,0.26,21785.0,363.033,20.0,9.0,0,2.0,0.0,97.3,Low Risk
111005_1_1,39.0,1.0,16.0,1,4,925000.0,50000.0,0.0,0.0,0.0,0.0,975000.0,10618,1534869,1545487,1.5851132460376964,-570487.0,-0.58511427167767,243750.0,0.5,1000022.0,1.0,12.0,0.0854719585066702,0.0,2.0,0,653.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.0,0.0,82.6,Medium Risk
111005_7_1,27.0,1.0,15.0,2,2,0.0,19000.0,0.0,0.0,0.0,0.0,19000.0,5336,146472,151808,5.0,-132808.0,-3.0,9500.0,0.0,1000022.0,1.0,12.0,4.386042166481726,0.0,2.0,0,653.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,0.0,26.9,High Risk
111006_1_1,58.0,2.0,8.0,2,3,45000.0,150000.0,250000.0,0.0,0.0,0.0,445000.0,6539,244229,250768,0.5635223291633052,194232.0,0.4364754236507334,148333.33333333334,0.3333333333333333,300028.0,1.0,14.0,0.05618500820505464,0.0,2.0,0,653.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,91.2,Low Risk
111006_6_1,67.0,1.0,13.0,2,2,0.0,84000.0,0.0,0.0,0.0,23000.0,107000.0,4006,18184,22190,0.2073812394276689,84810.0,0.7926094148652816,53500.0,0.0,20.0,1.0,10.0,1.557631185645494e-05,0.0,2.0,0,653.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,87.1,Low Risk
111007_10_1,54.0,2.0,9.0,2,3,0.0,300000.0,0.0,0.0,0.0,0.0,300000.0,3394,23060,26454,0.08817970606764644,273546.0,0.9118169606101313,100000.0,0.0,20.0,1.0,10.0,5.555554012346108e-06,0.0,2.0,0,653.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,89.2,Low Risk
111007_1_1,58.0,1.0,7.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4202,28532,32734,5.0,-32734.0,-3.0,0.0,0.0,20.0,1.0,10.0,10.0,0.0,2.0,0,653.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.0,0.0,5.1,High Risk
