month,food_expenditure,nonfood_expenditure,total_expenditure,n_households,ds
1,5295.335697399527,164175.1489361702,169470.48463356975,423,2016-01-01
2,5380.016826923077,117718.5625,123098.57932692308,416,2016-02-01
3,5008.357843137255,108072.81617647059,113081.17401960785,408,2016-03-01
4,5436.187050359712,100758.35971223022,106194.54676258993,417,2016-04-01
5,5380.221686746988,100376.80240963855,105757.02409638555,415,2016-05-01
6,5322.519138755981,110208.71770334928,115531.23684210527,418,2016-06-01
7,5089.458432304038,141925.62232779097,147015.080760095,421,2016-07-01
8,5282.579196217494,96443.21749408984,101725.79669030732,423,2016-08-01
9,5331.042857142857,99478.47142857143,104809.5142857143,420,2016-09-01
10,5388.076167076167,127575.62899262899,132963.70515970516,407,2016-10-01
11,5348.412935323383,106580.35820895522,111928.77114427861,402,2016-11-01
12,5606.894601542416,120087.67609254499,125694.57069408741,389,2016-12-01
